,17-21,24-27,30-34,39-43,57-59,63-65
cg00008647,0.15918482630713635,0.1130331944761655,0.12927861108749758,0.15445161977964844,0.14707013684221662,0.15825733496825609
cg00295572,0.045388087359436814,0.033010150574427216,0.05717945664287166,0.07501465067061915,0.08234829483928728,0.09338493187569012
cg00346208,0.09635912290664432,0.09666354361300245,0.09214511280615038,0.08944060946940423,0.12885804437915963,0.13760479879501622
cg00448707,0.6924206857362263,0.7596949789901875,0.6673328977029349,0.6759559759415092,0.6874712306264487,0.6998960073454704
cg00563824,0.1664970589509212,0.15942342159460193,0.17155822148432992,0.17206054406817367,0.20117405308720396,0.22189389386539707
cg00664416,0.20070598179375346,0.16735426292767536,0.1914103188387656,0.21991381131274176,0.21356824231250893,0.2468710501488455
cg00764612,0.26141126547313387,0.2116289871890735,0.26395061147812554,0.2563465763742201,0.2935158306196677,0.3087693559428774
cg00908766,0.44107581013291197,0.516183971503665,0.6532853990073969,0.5566134413708792,0.5911815353707757,0.622336122533666
cg00951395,0.3428595267004596,0.2575109102587471,0.33551745718711856,0.3510247978823776,0.2755682222103695,0.34957053732378024
cg01101873,0.540986556495841,0.5553534231840744,0.5110345089173135,0.4926617665090455,0.4125259760248217,0.4693294674266775
cg01103597,0.7119161180825726,0.7486711076407728,0.712388486561389,0.7189038663387125,0.6587704241114988,0.6531684962166374
cg01554529,0.4254844381351157,0.4510007122100314,0.3979722446851867,0.3899390263989672,0.37590028663921854,0.3866514053348806
cg01821018,0.5598257999420091,0.43613439326995185,0.5182473560023876,0.6637990540659043,0.4288696549821755,0.4420436446905652
cg02572729,0.046678116318506546,0.031004886138410393,0.024433133465903235,0.011039523026291447,0.04101943740777941,0.05178262667086694
cg02623400,0.09474858410309255,0.09478322209276524,0.1251812820529479,0.14190381720937584,0.15061075284884454,0.15790951734006295
cg02656891,0.11222422638681837,0.10331560930024528,0.10111869087629813,0.12836162270156184,0.12404358476949877,0.12417647536533094
cg02710296,0.2790123123810337,0.294504395399521,0.29631921815149564,0.3560795800250574,0.2799810212121931,0.2749328906724931
cg02924487,0.6643475714532358,0.6753198974664355,0.6950500350620763,0.7145082844760019,0.6858165425870029,0.7129809158902333
cg02927682,0.39613287438369393,0.3803181993815036,0.3655477764444167,0.37981557432432833,0.3587329924555296,0.30607202357929814
cg02987928,0.19852832225661718,0.15879109027824298,0.15931268246514801,0.18751861276020318,0.19511513260369343,0.213364052990049
cg03054277,0.7228418812071885,0.7694010240338294,0.7179009715189478,0.7786914793997716,0.772684786552337,0.7805720393355076
cg03126058,0.7936497386475189,0.8100096156207963,0.7946904640875878,0.7462485594652551,0.7014943016409324,0.7136026273137367
cg03216846,0.23536863659027912,0.220721265763212,0.22221192727281128,0.234731811737162,0.22774699920631256,0.25485887830878473
cg03748376,0.29620465047450384,0.47293207999808895,0.14183707962780237,0.3125831732186108,0.11908629898087912,0.13544358841269405
cg03769939,0.7149867186601904,0.7830672182977239,0.7134353410975678,0.7545427553005368,0.6536045545983961,0.6444728281279383
cg04340595,0.5792956505418142,0.5427792152171668,0.5771449904209192,0.5801017150382186,0.5848451305049039,0.5823073765097123
