,17-21,24-27,30-34,39-43,57-59,63-65
cg00008647,0.17771844211932364,0.15269811399223748,0.12805435379223035,0.1644330260448721,0.18647994740040144,0.1725056580287383
cg00295572,0.05112989816268099,0.0658688767420823,0.06931437751627154,0.0871670625858047,0.1148234799778779,0.10613241732550756
cg00346208,0.10796714668807182,0.07622406214486994,0.10416094849704693,0.12792709745775804,0.1655769754767984,0.16398800585196394
cg00448707,0.6497310305139073,0.6322540158624582,0.6483998270555771,0.7091578571559213,0.7242184446875807,0.738322693582178
cg00563824,0.19672254993638508,0.20503452888369347,0.15465628564084874,0.19708578756051656,0.2384899363509605,0.23506139413408222
cg00664416,0.21875375626677007,0.15758956630910412,0.19129993639350723,0.20554722409275983,0.24220144950555297,0.22603906890964168
cg00764612,0.28162125993680265,0.2196315074692924,0.25567321462815285,0.2813556665400676,0.3155019294675114,0.3084836724085472
cg00908766,0.57834589661768,0.7343292146689268,0.6381015794144123,0.6139449118470433,0.6114455736296508,0.6018251445689365
cg00951395,0.3306833411663323,0.2531186675609747,0.30275646706413023,0.3225034192914543,0.36280948151669073,0.34922949443458845
cg01101873,0.5910525836869263,0.5901186975521502,0.5207327646996177,0.5154263122943192,0.5100527354042336,0.4956593077447313
cg01103597,0.6968405107925343,0.7266160859330124,0.664310167206031,0.6847816396017326,0.6758698602461012,0.675595970754591
cg01554529,0.422238060485537,0.381363521986961,0.3883189750136355,0.4047059100745753,0.43613371537382256,0.40299591112043714
cg01821018,0.5011482053227971,0.4535780546200523,0.48374802426393115,0.5542454892316755,0.5660604397801565,0.5463923723780278
cg02572729,0.0447478414093847,0.03213209135433745,0.030569768139255847,0.038620499924061434,0.04344339732710604,0.038347321985774736
cg02623400,0.119291535021092,0.09593184946524398,0.11352637394215952,0.13797971543169094,0.1620353101798772,0.15854264143374572
cg02656891,0.12997782559604804,0.09034477168545504,0.12894214972694615,0.13439595475893532,0.1619100443262981,0.14921242172164853
cg02710296,0.25048843523867864,0.2546893509928979,0.28032276498595105,0.3069348208399202,0.3530844018913954,0.3597258707501558
cg02924487,0.6674215006056831,0.6835552847690585,0.6751746677145106,0.6987393398597588,0.7203809174089569,0.7295909485738541
cg02927682,0.39128329396806205,0.33332016131273395,0.33808188884838936,0.35783168579624,0.40626033552304713,0.3686343437492215
